youth_id,age,county,education,employment,housing,mentor_status,placement_count,prior_homelessness
YP-0344,18,New Castle,Associate degree,Part-time,At risk of homelessness,Assigned,7,No
YP-0345,15,New Castle,Middle school,Unemployed,Stable housing,Assigned,4,Yes
YP-0346,16,New Castle,Associate degree,Unemployed,Stable housing,Assigned,0,No
YP-0347,13,New Castle,Not enrolled,Part-time,Temporary shelter,Assigned,3,No
YP-0348,16,New Castle,High school,Unemployed,Stable housing,Not assigned,2,Yes
YP-0349,18,Sussex,Not enrolled,Unemployed,Stable housing,Assigned,6,Yes
YP-0350,14,New Castle,Some college,Unemployed,Stable housing,Assigned,3,Yes
YP-0351,14,New Castle,Middle school,Unemployed,Stable housing,Assigned,4,No
YP-0352,16,New Castle,GED/HiSET,Unemployed,Stable housing,Assigned,5,No
YP-0353,13,New Castle,Some college,Unemployed,Stable housing,Assigned,2,No
YP-0354,18,New Castle,High school,Part-time,Couch surfing,Assigned,3,No
YP-0355,14,New Castle,Associate degree,Part-time,Stable housing,Assigned,0,No
YP-0356,14,New Castle,High school,Unemployed,Stable housing,Assigned,3,No
YP-0357,16,New Castle,GED/HiSET,Unemployed,Couch surfing,Not assigned,6,No
YP-0358,14,New Castle,GED/HiSET,Unemployed,Stable housing,Not assigned,4,Yes
YP-0359,13,New Castle,GED/HiSET,Unemployed,Transitional housing,Not assigned,5,No
YP-0360,16,Kent,GED/HiSET,Part-time,Stable housing,Assigned,4,Yes
YP-0361,15,Kent,Not enrolled,Unemployed,Stable housing,Assigned,3,No
YP-0362,16,New Castle,Some college,Unemployed,Couch surfing,Assigned,5,No
YP-0363,19,Sussex,Not enrolled,Seasonal,Stable housing,Assigned,3,Yes
YP-0364,19,New Castle,Middle school,Part-time,At risk of homelessness,Assigned,3,No
YP-0365,19,Sussex,Not enrolled,Seasonal,Stable housing,Not assigned,4,No
YP-0366,17,New Castle,Associate degree,Part-time,Couch surfing,Not assigned,7,Yes
YP-0367,15,New Castle,Some college,Unemployed,Stable housing,Assigned,5,No
YP-0368,19,Sussex,Some college,Training / internship,Temporary shelter,Assigned,7,No
YP-0369,15,New Castle,Associate degree,Unemployed,At risk of homelessness,Assigned,6,No
YP-0370,19,New Castle,Associate degree,Part-time,Stable housing,Assigned,5,No
YP-0371,18,New Castle,Not enrolled,Part-time,Temporary shelter,Not assigned,3,No
YP-0372,17,Kent,Not enrolled,Seasonal,Transitional housing,Assigned,4,No
YP-0373,19,New Castle,Not enrolled,Seasonal,Stable housing,Not assigned,6,Yes
YP-0374,19,Sussex,High school,Part-time,Couch surfing,Assigned,4,No
YP-0375,19,Sussex,Not enrolled,Unemployed,Couch surfing,Not assigned,1,Yes
YP-0376,16,Sussex,GED/HiSET,Unemployed,At risk of homelessness,Assigned,6,No
YP-0377,15,New Castle,Middle school,Seasonal,At risk of homelessness,Assigned,3,Yes
YP-0378,18,Kent,Middle school,Unemployed,Couch surfing,Not assigned,7,Yes
YP-0379,18,New Castle,Not enrolled,Unemployed,Stable housing,Assigned,1,No
YP-0380,13,New Castle,Associate degree,Unemployed,Stable housing,Not assigned,5,Yes
YP-0381,16,Kent,Not enrolled,Part-time,Stable housing,Assigned,2,Yes
YP-0382,19,Kent,Middle school,Full-time,Temporary shelter,Assigned,5,Yes
YP-0383,16,New Castle,High school,Part-time,Couch surfing,Assigned,4,No
YP-0384,14,Sussex,Not enrolled,Seasonal,Stable housing,Assigned,5,No
YP-0385,15,Kent,Middle school,Unemployed,Couch surfing,Assigned,5,No
YP-0386,19,New Castle,Associate degree,Unemployed,Transitional housing,Not assigned,2,No
YP-0387,18,New Castle,GED/HiSET,Unemployed,Stable housing,Not assigned,1,No
YP-0388,16,New Castle,Associate degree,Unemployed,Stable housing,Not assigned,2,No
YP-0389,19,Kent,Some college,Full-time,Stable housing,Assigned,3,No
YP-0390,13,New Castle,Some college,Unemployed,Stable housing,Assigned,0,No
YP-0391,15,New Castle,Associate degree,Part-time,Transitional housing,Assigned,4,Yes
YP-0392,17,New Castle,Middle school,Unemployed,Stable housing,Assigned,1,No
YP-0393,15,Kent,GED/HiSET,Unemployed,Transitional housing,Assigned,6,Yes
YP-0394,18,New Castle,Middle school,Unemployed,Stable housing,Assigned,3,No
YP-0395,18,New Castle,Associate degree,Full-time,Stable housing,Assigned,1,No
YP-0396,15,Sussex,Some college,Unemployed,Transitional housing,Assigned,3,Yes
YP-0397,15,New Castle,Associate degree,Seasonal,Transitional housing,Assigned,7,No
YP-0398,15,New Castle,Associate degree,Training / internship,Couch surfing,Assigned,5,No
YP-0399,17,New Castle,Middle school,Unemployed,Stable housing,Assigned,4,No
YP-0400,18,New Castle,Some college,Unemployed,At risk of homelessness,Assigned,1,No
YP-0401,14,New Castle,Middle school,Seasonal,At risk of homelessness,Assigned,6,No
YP-0402,15,New Castle,Middle school,Unemployed,Temporary shelter,Assigned,1,No
YP-0403,18,New Castle,Not enrolled,Unemployed,Transitional housing,Not assigned,4,Yes
YP-0404,15,Sussex,High school,Unemployed,Couch surfing,Assigned,2,No
YP-0405,18,Kent,Some college,Unemployed,Stable housing,Not assigned,6,No
YP-0406,17,Sussex,Middle school,Unemployed,At risk of homelessness,Assigned,5,No
YP-0407,13,New Castle,High school,Unemployed,Couch surfing,Not assigned,6,No
YP-0408,14,New Castle,GED/HiSET,Unemployed,Stable housing,Not assigned,5,Yes
YP-0409,14,New Castle,Some college,Unemployed,At risk of homelessness,Assigned,6,Yes
YP-0410,14,New Castle,Associate degree,Part-time,Stable housing,Assigned,3,No
YP-0411,15,New Castle,High school,Full-time,At risk of homelessness,Assigned,7,No
YP-0412,15,New Castle,Middle school,Unemployed,Stable housing,Not assigned,4,Yes
YP-0413,16,New Castle,GED/HiSET,Unemployed,Stable housing,Assigned,6,Yes
YP-0414,15,New Castle,Not enrolled,Unemployed,Transitional housing,Assigned,6,No
YP-0415,19,Kent,High school,Unemployed,Temporary shelter,Not assigned,4,No
YP-0416,15,New Castle,Middle school,Unemployed,Stable housing,Assigned,5,No
YP-0417,13,Sussex,Middle school,Unemployed,Stable housing,Not assigned,1,Yes
YP-0418,15,New Castle,Associate degree,Unemployed,Couch surfing,Assigned,3,No
YP-0419,13,New Castle,Middle school,Seasonal,Stable housing,Assigned,6,No
YP-0420,13,New Castle,GED/HiSET,Unemployed,At risk of homelessness,Assigned,6,No
YP-0421,18,New Castle,GED/HiSET,Unemployed,Stable housing,Assigned,2,No
YP-0422,17,New Castle,Some college,Part-time,Couch surfing,Assigned,5,No
YP-0423,16,Sussex,Middle school,Unemployed,Couch surfing,Not assigned,2,No
YP-0424,19,New Castle,Not enrolled,Training / internship,Transitional housing,Assigned,5,No
YP-0425,17,Sussex,Some college,Unemployed,Stable housing,Assigned,4,Yes
YP-0426,19,New Castle,High school,Unemployed,At risk of homelessness,Assigned,7,No
YP-0427,14,New Castle,Not enrolled,Unemployed,Stable housing,Assigned,6,No
YP-0428,14,New Castle,Some college,Part-time,Transitional housing,Assigned,7,No
YP-0429,14,Kent,Some college,Unemployed,Temporary shelter,Assigned,5,Yes
YP-0430,17,New Castle,Some college,Unemployed,At risk of homelessness,Not assigned,7,No
YP-0431,15,New Castle,Middle school,Unemployed,Stable housing,Assigned,1,Yes
YP-0432,15,New Castle,Some college,Unemployed,Stable housing,Not assigned,6,No
YP-0433,13,New Castle,Middle school,Unemployed,At risk of homelessness,Not assigned,7,No
YP-0434,13,New Castle,High school,Part-time,Couch surfing,Assigned,3,No
YP-0435,14,Kent,Associate degree,Seasonal,Transitional housing,Not assigned,6,No
YP-0436,17,New Castle,Associate degree,Seasonal,Couch surfing,Assigned,6,No
YP-0437,15,New Castle,Associate degree,Unemployed,Stable housing,Not assigned,5,No
YP-0438,19,New Castle,Some college,Unemployed,Couch surfing,Not assigned,5,Yes
YP-0439,16,Sussex,Middle school,Unemployed,Stable housing,Assigned,2,Yes
YP-0440,13,New Castle,Associate degree,Unemployed,Temporary shelter,Assigned,1,Yes
YP-0441,13,New Castle,High school,Unemployed,Stable housing,Assigned,3,No
YP-0442,14,Sussex,GED/HiSET,Unemployed,Stable housing,Assigned,0,No
YP-0443,17,New Castle,Associate degree,Seasonal,Stable housing,Assigned,6,No
YP-0444,15,New Castle,High school,Training / internship,Stable housing,Assigned,3,Yes
YP-0445,13,Kent,High school,Unemployed,Couch surfing,Assigned,1,No
YP-0446,17,New Castle,GED/HiSET,Unemployed,Stable housing,Assigned,1,No
YP-0447,18,New Castle,Some college,Unemployed,Stable housing,Assigned,0,No
YP-0448,16,Kent,Middle school,Unemployed,Stable housing,Assigned,6,No
YP-0449,14,New Castle,Not enrolled,Unemployed,Stable housing,Assigned,0,No
YP-0450,19,New Castle,GED/HiSET,Full-time,At risk of homelessness,Assigned,6,No
YP-0451,16,New Castle,High school,Unemployed,Stable housing,Assigned,2,Yes
YP-0452,13,New Castle,Middle school,Part-time,Couch surfing,Assigned,3,No
YP-0453,19,New Castle,Some college,Part-time,Stable housing,Assigned,4,No
YP-0454,19,Kent,GED/HiSET,Full-time,Stable housing,Assigned,3,No
YP-0455,17,Sussex,Some college,Training / internship,Transitional housing,Assigned,5,Yes
YP-0456,16,New Castle,Middle school,Seasonal,Stable housing,Assigned,1,Yes
YP-0457,18,Sussex,GED/HiSET,Unemployed,Transitional housing,Assigned,5,Yes
YP-0458,19,New Castle,Not enrolled,Unemployed,Couch surfing,Assigned,7,Yes
YP-0459,19,New Castle,Not enrolled,Seasonal,Couch surfing,Assigned,4,Yes
YP-0460,17,New Castle,Some college,Part-time,At risk of homelessness,Assigned,1,No
YP-0461,15,Kent,Some college,Seasonal,At risk of homelessness,Assigned,6,No
YP-0462,13,New Castle,Middle school,Unemployed,Stable housing,Assigned,5,No
YP-0463,15,Sussex,Associate degree,Unemployed,Temporary shelter,Not assigned,3,Yes
YP-0464,15,New Castle,High school,Unemployed,Stable housing,Not assigned,0,No
YP-0465,15,New Castle,Associate degree,Unemployed,Transitional housing,Assigned,4,No
YP-0466,16,Sussex,Middle school,Seasonal,Stable housing,Assigned,4,No
YP-0467,17,Sussex,Middle school,Unemployed,Temporary shelter,Assigned,7,No
YP-0468,13,New Castle,Middle school,Unemployed,Transitional housing,Not assigned,2,Yes
YP-0469,15,New Castle,Associate degree,Unemployed,Stable housing,Assigned,3,No
YP-0470,13,New Castle,Middle school,Unemployed,Couch surfing,Assigned,7,No
YP-0471,15,New Castle,Middle school,Part-time,Stable housing,Not assigned,0,No
YP-0472,14,New Castle,Some college,Part-time,Stable housing,Assigned,1,No
YP-0473,16,New Castle,Some college,Unemployed,Transitional housing,Not assigned,1,No
YP-0474,14,Kent,Some college,Part-time,Stable housing,Assigned,2,No
YP-0475,15,Kent,GED/HiSET,Seasonal,At risk of homelessness,Assigned,2,No
YP-0476,19,Sussex,Some college,Part-time,Stable housing,Assigned,5,No
YP-0477,17,Sussex,Associate degree,Part-time,Stable housing,Not assigned,3,Yes
YP-0478,18,New Castle,High school,Seasonal,Stable housing,Not assigned,5,No
YP-0479,19,New Castle,Middle school,Training / internship,Transitional housing,Not assigned,5,No
YP-0480,14,Kent,Associate degree,Unemployed,Stable housing,Assigned,3,No
YP-0481,17,New Castle,Associate degree,Training / internship,Transitional housing,Assigned,6,Yes
YP-0482,19,Kent,GED/HiSET,Training / internship,Temporary shelter,Assigned,7,Yes
YP-0483,17,Kent,Middle school,Unemployed,Stable housing,Not assigned,5,No
YP-0484,14,New Castle,Associate degree,Seasonal,Couch surfing,Assigned,2,No
YP-0485,19,Sussex,High school,Part-time,Couch surfing,Assigned,1,No
YP-0486,17,Kent,Some college,Training / internship,Stable housing,Not assigned,4,Yes
YP-0487,17,Sussex,High school,Part-time,At risk of homelessness,Assigned,2,No
YP-0488,16,Sussex,Middle school,Unemployed,Temporary shelter,Not assigned,4,No
YP-0489,15,Kent,Associate degree,Unemployed,Stable housing,Assigned,6,Yes
YP-0490,16,New Castle,Not enrolled,Unemployed,Stable housing,Assigned,3,No
YP-0491,13,New Castle,Some college,Unemployed,Stable housing,Assigned,2,No
YP-0492,13,New Castle,Associate degree,Unemployed,Temporary shelter,Assigned,3,No
YP-0493,17,New Castle,Some college,Unemployed,Stable housing,Assigned,2,No
YP-0494,17,New Castle,High school,Part-time,Temporary shelter,Assigned,4,No
YP-0495,19,Kent,GED/HiSET,Unemployed,Stable housing,Not assigned,1,No
YP-0496,14,New Castle,Not enrolled,Unemployed,Couch surfing,Assigned,6,Yes
YP-0497,13,New Castle,Some college,Training / internship,Couch surfing,Assigned,1,Yes
YP-0498,16,Kent,GED/HiSET,Unemployed,Stable housing,Not assigned,1,No
YP-0499,15,New Castle,GED/HiSET,Unemployed,Couch surfing,Assigned,5,No
YP-0500,13,Kent,Some college,Part-time,Stable housing,Assigned,0,No
