youth_id,age,youth_county,youth_need_tags,resource_id,resource_name,resource_category,resource_county,eligibility_age_min,eligibility_age_max,matched_need_tags,match_score,default_priority,referral_method,website
YP-0107,18,New Castle,career;career_pathway;case_management;college;community;employment;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;mentorship;positive_adult;postsecondary;professional_skills;resume;transition_support;young_adults,R017,Big Brothers Big Sisters of Delaware,Mentorship,Statewide,6,18,mentorship;positive_adult,23,High,Enroll youth / mentor match inquiry,https://bbbsde.org/
YP-0108,19,New Castle,academic_support;career_readiness;case_management;community;education;general_support;homelessness;housing;independent_living;mentorship;positive_adult;young_adults,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support;housing,33,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0108,19,New Castle,academic_support;career_readiness;case_management;community;education;general_support;homelessness;housing;independent_living;mentorship;positive_adult;young_adults,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;education;housing,33,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0108,19,New Castle,academic_support;career_readiness;case_management;community;education;general_support;homelessness;housing;independent_living;mentorship;positive_adult;young_adults,R016,The Warehouse,Teen Center / Engagement,New Castle,13,24,community;education;mentorship,32,Medium,Membership / program enrollment,https://teenwarehouse.org/
YP-0108,19,New Castle,academic_support;career_readiness;case_management;community;education;general_support;homelessness;housing;independent_living;mentorship;positive_adult;young_adults,R002,DSCYF ASSIST / Aftercare 18-21,Aftercare,Statewide,18,21,housing;independent_living,23,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/il-provider-resources/
YP-0108,19,New Castle,academic_support;career_readiness;case_management;community;education;general_support;homelessness;housing;independent_living;mentorship;positive_adult;young_adults,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,housing;mentorship,23,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0109,19,Sussex,career;career_pathway;education;employment;general_support;independent_living;internship;postsecondary;professional_skills;young_adults,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0109,19,Sussex,career;career_pathway;education;employment;general_support;independent_living;internship;postsecondary;professional_skills;young_adults,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,education;employment,23,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0109,19,Sussex,career;career_pathway;education;employment;general_support;independent_living;internship;postsecondary;professional_skills;young_adults,R019,YMCA of Delaware Teen Workforce Development,Employment,Statewide,15,19,internship;professional_skills,23,High,Interest form / program enrollment,https://www.ymcade.org/teen-workforce-development/
YP-0109,19,Sussex,career;career_pathway;education;employment;general_support;independent_living;internship;postsecondary;professional_skills;young_adults,R002,DSCYF ASSIST / Aftercare 18-21,Aftercare,Statewide,18,21,independent_living,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/il-provider-resources/
YP-0109,19,Sussex,career;career_pathway;education;employment;general_support;independent_living;internship;postsecondary;professional_skills;young_adults,R025,Delaware Department of Labor - Vocational Rehabilitation Transition Services,Disability / Employment,Statewide,14,24,employment,13,High,DVR referral / school referral,https://labor.delaware.gov/divisions/dvr/transition-services/
YP-0110,15,New Castle,career;career_pathway;case_management;community;education;employment;financial_literacy;general_support;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R016,The Warehouse,Teen Center / Engagement,New Castle,13,24,community;education;employment;mentorship,42,Medium,Membership / program enrollment,https://teenwarehouse.org/
YP-0110,15,New Castle,career;career_pathway;case_management;community;education;employment;financial_literacy;general_support;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,life_skills;mentorship;transition_support,33,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0110,15,New Castle,career;career_pathway;case_management;community;education;employment;financial_literacy;general_support;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R017,Big Brothers Big Sisters of Delaware,Mentorship,Statewide,6,18,mentorship;positive_adult,23,High,Enroll youth / mentor match inquiry,https://bbbsde.org/
YP-0110,15,New Castle,career;career_pathway;case_management;community;education;employment;financial_literacy;general_support;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0110,15,New Castle,career;career_pathway;case_management;community;education;employment;financial_literacy;general_support;job_training;life_skills;mentorship;paid_work;positive_adult;postsecondary;transition_support,R025,Delaware Department of Labor - Vocational Rehabilitation Transition Services,Disability / Employment,Statewide,14,24,employment,13,High,DVR referral / school referral,https://labor.delaware.gov/divisions/dvr/transition-services/
YP-0111,13,Sussex,academic_support;career;career_readiness;case_management;community;education;employment;financial_literacy;general_support;job_training;life_skills;mentorship;paid_work;positive_adult;transition_support,R017,Big Brothers Big Sisters of Delaware,Mentorship,Statewide,6,18,mentorship;positive_adult,23,High,Enroll youth / mentor match inquiry,https://bbbsde.org/
YP-0111,13,Sussex,academic_support;career;career_readiness;case_management;community;education;employment;financial_literacy;general_support;job_training;life_skills;mentorship;paid_work;positive_adult;transition_support,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0111,13,Sussex,academic_support;career;career_readiness;case_management;community;education;employment;financial_literacy;general_support;job_training;life_skills;mentorship;paid_work;positive_adult;transition_support,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,academic_support;career,22,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
YP-0111,13,Sussex,academic_support;career;career_readiness;case_management;community;education;employment;financial_literacy;general_support;job_training;life_skills;mentorship;paid_work;positive_adult;transition_support,R046,Junior Achievement of Delaware,Financial Literacy & Career,Statewide,5,18,career_readiness;financial_literacy,22,Medium,School/community program inquiry,https://delaware.ja.org/
YP-0111,13,Sussex,academic_support;career;career_readiness;case_management;community;education;employment;financial_literacy;general_support;job_training;life_skills;mentorship;paid_work;positive_adult;transition_support,R055,Delaware LGBTQ+ Resources and Organizations,LGBTQ+ Support,Statewide,0,99,education,12,Medium,Resource navigation,https://history.delaware.gov/lgbtq-history/local-lgbtq-resources-and-organizations/
YP-0112,18,Kent,career;career_pathway;college;employment;general_support;independent_living;postsecondary;professional_skills;resume;young_adults,R019,YMCA of Delaware Teen Workforce Development,Employment,Statewide,15,19,professional_skills;resume,23,High,Interest form / program enrollment,https://www.ymcade.org/teen-workforce-development/
YP-0112,18,Kent,career;career_pathway;college;employment;general_support;independent_living;postsecondary;professional_skills;resume;young_adults,R002,DSCYF ASSIST / Aftercare 18-21,Aftercare,Statewide,18,21,independent_living,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/il-provider-resources/
YP-0112,18,Kent,career;career_pathway;college;employment;general_support;independent_living;postsecondary;professional_skills;resume;young_adults,R007,Delaware 211,Resource Navigation,Statewide,0,99,general_support,13,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0112,18,Kent,career;career_pathway;college;employment;general_support;independent_living;postsecondary;professional_skills;resume;young_adults,R025,Delaware Department of Labor - Vocational Rehabilitation Transition Services,Disability / Employment,Statewide,14,24,employment,13,High,DVR referral / school referral,https://labor.delaware.gov/divisions/dvr/transition-services/
YP-0112,18,Kent,career;career_pathway;college;employment;general_support;independent_living;postsecondary;professional_skills;resume;young_adults,R009,Foster Care Tuition Waiver Program,Education Funding,Statewide,18,26,college,13,High,Eligibility application / caseworker support,https://kids.delaware.gov/family-services/foster-care-tuition-waiver-program/
YP-0113,19,New Castle,GED;career;community;credentials;education;employment;general_support;independent_living;mentorship;positive_adult;postsecondary;professional_skills;resume;young_adults,R016,The Warehouse,Teen Center / Engagement,New Castle,13,24,community;education;employment;mentorship,42,Medium,Membership / program enrollment,https://teenwarehouse.org/
YP-0113,19,New Castle,GED;career;community;credentials;education;employment;general_support;independent_living;mentorship;positive_adult;postsecondary;professional_skills;resume;young_adults,R022,West End Education and Employment Department,Employment & Education,New Castle,16,24,GED;credentials;postsecondary,33,High,Program inquiry,https://westendnh.org/programs/academic-education/
YP-0113,19,New Castle,GED;career;community;credentials;education;employment;general_support;independent_living;mentorship;positive_adult;postsecondary;professional_skills;resume;young_adults,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0113,19,New Castle,GED;career;community;credentials;education;employment;general_support;independent_living;mentorship;positive_adult;postsecondary;professional_skills;resume;young_adults,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,education;employment,23,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0113,19,New Castle,GED;career;community;credentials;education;employment;general_support;independent_living;mentorship;positive_adult;postsecondary;professional_skills;resume;young_adults,R019,YMCA of Delaware Teen Workforce Development,Employment,Statewide,15,19,professional_skills;resume,23,High,Interest form / program enrollment,https://www.ymcade.org/teen-workforce-development/
YP-0114,13,New Castle,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;job_training;paid_work;postsecondary,R007,Delaware 211,Resource Navigation,Statewide,0,99,general_support;housing,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0114,13,New Castle,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;job_training;paid_work;postsecondary,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,career,12,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
YP-0114,13,New Castle,career;career_pathway;case_management;college;employment;general_support;homelessness;housing;job_training;paid_work;postsecondary,R016,The Warehouse,Teen Center / Engagement,New Castle,13,24,employment,12,Medium,Membership / program enrollment,https://teenwarehouse.org/
YP-0115,14,New Castle,GED;career;community;credentials;education;employment;general_support;job_training;mentorship;paid_work;positive_adult;postsecondary,R016,The Warehouse,Teen Center / Engagement,New Castle,13,24,community;education;employment;mentorship,42,Medium,Membership / program enrollment,https://teenwarehouse.org/
YP-0115,14,New Castle,GED;career;community;credentials;education;employment;general_support;job_training;mentorship;paid_work;positive_adult;postsecondary,R017,Big Brothers Big Sisters of Delaware,Mentorship,Statewide,6,18,mentorship;positive_adult,23,High,Enroll youth / mentor match inquiry,https://bbbsde.org/
YP-0115,14,New Castle,GED;career;community;credentials;education;employment;general_support;job_training;mentorship;paid_work;positive_adult;postsecondary,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0115,14,New Castle,GED;career;community;credentials;education;employment;general_support;job_training;mentorship;paid_work;positive_adult;postsecondary,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,mentorship,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0115,14,New Castle,GED;career;community;credentials;education;employment;general_support;job_training;mentorship;paid_work;positive_adult;postsecondary,R025,Delaware Department of Labor - Vocational Rehabilitation Transition Services,Disability / Employment,Statewide,14,24,employment,13,High,DVR referral / school referral,https://labor.delaware.gov/divisions/dvr/transition-services/
YP-0116,18,New Castle,academic_support;career;career_readiness;education;employment;general_support;independent_living;professional_skills;resume;young_adults,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0116,18,New Castle,academic_support;career;career_readiness;education;employment;general_support;independent_living;professional_skills;resume;young_adults,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,education;employment,23,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0116,18,New Castle,academic_support;career;career_readiness;education;employment;general_support;independent_living;professional_skills;resume;young_adults,R019,YMCA of Delaware Teen Workforce Development,Employment,Statewide,15,19,professional_skills;resume,23,High,Interest form / program enrollment,https://www.ymcade.org/teen-workforce-development/
YP-0116,18,New Castle,academic_support;career;career_readiness;education;employment;general_support;independent_living;professional_skills;resume;young_adults,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,academic_support;career,22,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
YP-0116,18,New Castle,academic_support;career;career_readiness;education;employment;general_support;independent_living;professional_skills;resume;young_adults,R016,The Warehouse,Teen Center / Engagement,New Castle,13,24,education;employment,22,Medium,Membership / program enrollment,https://teenwarehouse.org/
YP-0117,17,New Castle,career_pathway;case_management;college;financial_literacy;general_support;life_skills;postsecondary;transition_support,R005,People's Place Independent Living,Independent Living,Statewide,16,23,case_management;life_skills;transition_support,33,High,DFS referral or self-referral for 18-23,https://peoplesplace2.com/services/independent-living
YP-0117,17,New Castle,career_pathway;case_management;college;financial_literacy;general_support;life_skills;postsecondary;transition_support,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;financial_literacy;life_skills,33,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0117,17,New Castle,career_pathway;case_management;college;financial_literacy;general_support;life_skills;postsecondary;transition_support,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,life_skills;transition_support,23,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0117,17,New Castle,career_pathway;case_management;college;financial_literacy;general_support;life_skills;postsecondary;transition_support,R022,West End Education and Employment Department,Employment & Education,New Castle,16,24,career_pathway;postsecondary,23,High,Program inquiry,https://westendnh.org/programs/academic-education/
YP-0117,17,New Castle,career_pathway;case_management;college;financial_literacy;general_support;life_skills;postsecondary;transition_support,R007,Delaware 211,Resource Navigation,Statewide,0,99,general_support,13,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0118,19,Sussex,career;career_pathway;case_management;college;community;employment;financial_literacy;general_support;independent_living;life_skills;mentorship;positive_adult;postsecondary;professional_skills;resume;transition_support;young_adults,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;employment;financial_literacy;life_skills,43,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0118,19,Sussex,career;career_pathway;case_management;college;community;employment;financial_literacy;general_support;independent_living;life_skills;mentorship;positive_adult;postsecondary;professional_skills;resume;transition_support;young_adults,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,life_skills;mentorship;transition_support,33,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0118,19,Sussex,career;career_pathway;case_management;college;community;employment;financial_literacy;general_support;independent_living;life_skills;mentorship;positive_adult;postsecondary;professional_skills;resume;transition_support;young_adults,R005,People's Place Independent Living,Independent Living,Statewide,16,23,case_management;life_skills;transition_support,33,High,DFS referral or self-referral for 18-23,https://peoplesplace2.com/services/independent-living
YP-0118,19,Sussex,career;career_pathway;case_management;college;community;employment;financial_literacy;general_support;independent_living;life_skills;mentorship;positive_adult;postsecondary;professional_skills;resume;transition_support;young_adults,R019,YMCA of Delaware Teen Workforce Development,Employment,Statewide,15,19,professional_skills;resume,23,High,Interest form / program enrollment,https://www.ymcade.org/teen-workforce-development/
YP-0118,19,Sussex,career;career_pathway;case_management;college;community;employment;financial_literacy;general_support;independent_living;life_skills;mentorship;positive_adult;postsecondary;professional_skills;resume;transition_support;young_adults,R002,DSCYF ASSIST / Aftercare 18-21,Aftercare,Statewide,18,21,independent_living,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/il-provider-resources/
YP-0119,16,New Castle,academic_support;career;career_readiness;case_management;education;employment;financial_literacy;general_support;job_training;life_skills;paid_work;transition_support,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;education;employment;financial_literacy;life_skills,53,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0119,16,New Castle,academic_support;career;career_readiness;case_management;education;employment;financial_literacy;general_support;job_training;life_skills;paid_work;transition_support,R005,People's Place Independent Living,Independent Living,Statewide,16,23,case_management;life_skills;transition_support,33,High,DFS referral or self-referral for 18-23,https://peoplesplace2.com/services/independent-living
YP-0119,16,New Castle,academic_support;career;career_readiness;case_management;education;employment;financial_literacy;general_support;job_training;life_skills;paid_work;transition_support,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,life_skills;transition_support,23,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0119,16,New Castle,academic_support;career;career_readiness;case_management;education;employment;financial_literacy;general_support;job_training;life_skills;paid_work;transition_support,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0119,16,New Castle,academic_support;career;career_readiness;case_management;education;employment;financial_literacy;general_support;job_training;life_skills;paid_work;transition_support,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,academic_support;career,22,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
YP-0120,15,New Castle,academic_support;career;career_readiness;case_management;education;employment;financial_literacy;general_support;internship;life_skills;professional_skills;transition_support,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,life_skills;transition_support,23,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0120,15,New Castle,academic_support;career;career_readiness;case_management;education;employment;financial_literacy;general_support;internship;life_skills;professional_skills;transition_support,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0120,15,New Castle,academic_support;career;career_readiness;case_management;education;employment;financial_literacy;general_support;internship;life_skills;professional_skills;transition_support,R019,YMCA of Delaware Teen Workforce Development,Employment,Statewide,15,19,internship;professional_skills,23,High,Interest form / program enrollment,https://www.ymcade.org/teen-workforce-development/
YP-0120,15,New Castle,academic_support;career;career_readiness;case_management;education;employment;financial_literacy;general_support;internship;life_skills;professional_skills;transition_support,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,academic_support;career,22,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
YP-0120,15,New Castle,academic_support;career;career_readiness;case_management;education;employment;financial_literacy;general_support;internship;life_skills;professional_skills;transition_support,R046,Junior Achievement of Delaware,Financial Literacy & Career,Statewide,5,18,career_readiness;financial_literacy,22,Medium,School/community program inquiry,https://delaware.ja.org/
YP-0121,18,Kent,career_pathway;case_management;education;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;postsecondary;transition_support;young_adults,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;education;financial_literacy;housing;life_skills,53,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0121,18,Kent,career_pathway;case_management;education;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;postsecondary;transition_support;young_adults,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,housing;life_skills;transition_support,33,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0121,18,Kent,career_pathway;case_management;education;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;postsecondary;transition_support;young_adults,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support;housing,33,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0121,18,Kent,career_pathway;case_management;education;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;postsecondary;transition_support;young_adults,R005,People's Place Independent Living,Independent Living,Statewide,16,23,case_management;life_skills;transition_support,33,High,DFS referral or self-referral for 18-23,https://peoplesplace2.com/services/independent-living
YP-0121,18,Kent,career_pathway;case_management;education;financial_literacy;general_support;homelessness;housing;independent_living;life_skills;postsecondary;transition_support;young_adults,R002,DSCYF ASSIST / Aftercare 18-21,Aftercare,Statewide,18,21,housing;independent_living,23,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/il-provider-resources/
YP-0122,14,Sussex,career;career_pathway;community;education;employment;general_support;internship;mentorship;positive_adult;postsecondary;professional_skills,R017,Big Brothers Big Sisters of Delaware,Mentorship,Statewide,6,18,mentorship;positive_adult,23,High,Enroll youth / mentor match inquiry,https://bbbsde.org/
YP-0122,14,Sussex,career;career_pathway;community;education;employment;general_support;internship;mentorship;positive_adult;postsecondary;professional_skills,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0122,14,Sussex,career;career_pathway;community;education;employment;general_support;internship;mentorship;positive_adult;postsecondary;professional_skills,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,mentorship,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0122,14,Sussex,career;career_pathway;community;education;employment;general_support;internship;mentorship;positive_adult;postsecondary;professional_skills,R025,Delaware Department of Labor - Vocational Rehabilitation Transition Services,Disability / Employment,Statewide,14,24,employment,13,High,DVR referral / school referral,https://labor.delaware.gov/divisions/dvr/transition-services/
YP-0122,14,Sussex,career;career_pathway;community;education;employment;general_support;internship;mentorship;positive_adult;postsecondary;professional_skills,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,career,12,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
YP-0123,16,Sussex,GED;career;community;credentials;education;employment;general_support;job_training;mentorship;paid_work;positive_adult;postsecondary,R017,Big Brothers Big Sisters of Delaware,Mentorship,Statewide,6,18,mentorship;positive_adult,23,High,Enroll youth / mentor match inquiry,https://bbbsde.org/
YP-0123,16,Sussex,GED;career;community;credentials;education;employment;general_support;job_training;mentorship;paid_work;positive_adult;postsecondary,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0123,16,Sussex,GED;career;community;credentials;education;employment;general_support;job_training;mentorship;paid_work;positive_adult;postsecondary,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,education;employment,23,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0123,16,Sussex,GED;career;community;credentials;education;employment;general_support;job_training;mentorship;paid_work;positive_adult;postsecondary,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,mentorship,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0123,16,Sussex,GED;career;community;credentials;education;employment;general_support;job_training;mentorship;paid_work;positive_adult;postsecondary,R025,Delaware Department of Labor - Vocational Rehabilitation Transition Services,Disability / Employment,Statewide,14,24,employment,13,High,DVR referral / school referral,https://labor.delaware.gov/divisions/dvr/transition-services/
YP-0124,13,Sussex,career;career_pathway;education;employment;general_support;postsecondary;professional_skills;resume,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0124,13,Sussex,career;career_pathway;education;employment;general_support;postsecondary;professional_skills;resume,R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,Statewide,6,18,career,12,Medium,Join local club / program inquiry,https://www.bgclubs.org/education-and-career
YP-0124,13,Sussex,career;career_pathway;education;employment;general_support;postsecondary;professional_skills;resume,R055,Delaware LGBTQ+ Resources and Organizations,LGBTQ+ Support,Statewide,0,99,education,12,Medium,Resource navigation,https://history.delaware.gov/lgbtq-history/local-lgbtq-resources-and-organizations/
YP-0124,13,Sussex,career;career_pathway;education;employment;general_support;postsecondary;professional_skills;resume,R042,Mental Health Association in Delaware,Mental Health,Statewide,0,99,education,12,Medium,Program inquiry / referral,https://www.mhainde.org/
YP-0125,19,New Castle,career;career_pathway;case_management;college;employment;financial_literacy;general_support;independent_living;internship;life_skills;postsecondary;professional_skills;transition_support;young_adults,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;employment;financial_literacy;life_skills,43,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0125,19,New Castle,career;career_pathway;case_management;college;employment;financial_literacy;general_support;independent_living;internship;life_skills;postsecondary;professional_skills;transition_support;young_adults,R005,People's Place Independent Living,Independent Living,Statewide,16,23,case_management;life_skills;transition_support,33,High,DFS referral or self-referral for 18-23,https://peoplesplace2.com/services/independent-living
YP-0125,19,New Castle,career;career_pathway;case_management;college;employment;financial_literacy;general_support;independent_living;internship;life_skills;postsecondary;professional_skills;transition_support;young_adults,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,life_skills;transition_support,23,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0125,19,New Castle,career;career_pathway;case_management;college;employment;financial_literacy;general_support;independent_living;internship;life_skills;postsecondary;professional_skills;transition_support;young_adults,R022,West End Education and Employment Department,Employment & Education,New Castle,16,24,career_pathway;postsecondary,23,High,Program inquiry,https://westendnh.org/programs/academic-education/
YP-0125,19,New Castle,career;career_pathway;case_management;college;employment;financial_literacy;general_support;independent_living;internship;life_skills;postsecondary;professional_skills;transition_support;young_adults,R019,YMCA of Delaware Teen Workforce Development,Employment,Statewide,15,19,internship;professional_skills,23,High,Interest form / program enrollment,https://www.ymcade.org/teen-workforce-development/
YP-0126,17,Kent,GED;career;community;credentials;education;employment;general_support;mentorship;positive_adult;postsecondary;professional_skills;resume,R017,Big Brothers Big Sisters of Delaware,Mentorship,Statewide,6,18,mentorship;positive_adult,23,High,Enroll youth / mentor match inquiry,https://bbbsde.org/
YP-0126,17,Kent,GED;career;community;credentials;education;employment;general_support;mentorship;positive_adult;postsecondary;professional_skills;resume,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0126,17,Kent,GED;career;community;credentials;education;employment;general_support;mentorship;positive_adult;postsecondary;professional_skills;resume,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,education;employment,23,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0126,17,Kent,GED;career;community;credentials;education;employment;general_support;mentorship;positive_adult;postsecondary;professional_skills;resume,R019,YMCA of Delaware Teen Workforce Development,Employment,Statewide,15,19,professional_skills;resume,23,High,Interest form / program enrollment,https://www.ymcade.org/teen-workforce-development/
YP-0126,17,Kent,GED;career;community;credentials;education;employment;general_support;mentorship;positive_adult;postsecondary;professional_skills;resume,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,mentorship,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0127,16,Sussex,GED;career;case_management;credentials;education;employment;general_support;homelessness;housing;independent_living;postsecondary;professional_skills;resume,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;education;employment;housing,43,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0127,16,Sussex,GED;career;case_management;credentials;education;employment;general_support;homelessness;housing;independent_living;postsecondary;professional_skills;resume,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support;housing,33,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0127,16,Sussex,GED;career;case_management;credentials;education;employment;general_support;homelessness;housing;independent_living;postsecondary;professional_skills;resume,R019,YMCA of Delaware Teen Workforce Development,Employment,Statewide,15,19,professional_skills;resume,23,High,Interest form / program enrollment,https://www.ymcade.org/teen-workforce-development/
YP-0127,16,Sussex,GED;career;case_management;credentials;education;employment;general_support;homelessness;housing;independent_living;postsecondary;professional_skills;resume,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,housing,13,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0127,16,Sussex,GED;career;case_management;credentials;education;employment;general_support;homelessness;housing;independent_living;postsecondary;professional_skills;resume,R025,Delaware Department of Labor - Vocational Rehabilitation Transition Services,Disability / Employment,Statewide,14,24,employment,13,High,DVR referral / school referral,https://labor.delaware.gov/divisions/dvr/transition-services/
